name,domain
Molloy College,molloy.edu
Monash University,monash.edu
Monmouth College Il,monmouthcollege.edu
Monmouth University,monmouth.edu
Montana State University Billings,msubillings.edu
Montana State University Bozeman,montana.edu
Montana State University Northern,msun.edu
Montana Tech,mtech.edu
Montclair State University,montclair.edu
Montreat College,montreat.edu
Montserrat College Art,montserrat.edu
Moravian College,moravian.edu
Morehead State University,moreheadstate.edu
Morehouse College,morehouse.edu
Morgan State University,morgan.edu
Morningside College,morningside.edu
Morris College,morris.edu
Mount Aloysius College,mtaloy.edu
Mount Carmel College Of Nursing,mccn.edu
Mount Holyoke College,mtholyoke.edu
Mount Marty College,mtmc.edu
Mount Mary University,mtmary.edu
Mount Mercy University,mtmercy.edu
Mount Saint Mary College,msmc.edu
Mount Saint Marys University,msmu.edu
Mount St Joseph University,msj.edu
Mount St Marys University,msmary.edu
Mount Vernon Nazarene University,mvnu.edu
Muhlenberg College,muhlenberg.edu
Multnomah University,multnomah.edu
Murray State University,murraystate.edu
Muskingum University,muskingum.edu
Naropa University,naropa.edu
National Louis University,nl.edu
Navarra University Of,unav.es
Nazarene Bible College,nbc.edu
Nazareth College,naz.edu
Nebraska Christian College,nechristian.edu
Nebraska Methodist College,methodistcollege.edu
Nebraska Wesleyan University,nebrwesleyan.edu
Neumann University,neumann.edu
Neumont College Of Computer Science,neumont.edu
Nevada State College,nsc.edu
New College Florida,ncf.edu
New England College,nec.edu
New England Conservatory Of Music,necmusic.edu
New England Institute Technology,neit.edu
New Hampshire Institute Art,nhia.edu
New Hope Christian College,newhope.edu
New Jersey City University,njcu.edu
New Jersey Institute Technology,njit.edu
New Mexico Highlands University,nmhu.edu
New Mexico Institute Of Mining And Technology,nmt.edu
New Mexico State University,nmsu.edu
New School,newschool.edu
New School Of Architecture And Design,newschoolarch.edu
New York Institute Technology Nyit,nyit.edu
New York School Of Interior Design,nysid.edu
New York University,nyu.edu
Newberry College,newberry.edu
Newberry College,newberry.edu
Newbury College,newbury.edu
Newman University,newmanu.edu
Niagara University,niagara.edu
Nicholls State University,nicholls.edu
Nichols College,nichols.edu
Norfolk State University,nsu.edu
